law,law_number,punished,punished_percent,punishment,punishment_order,punishment_text
"Статья 19.4. Неповиновение законному распоряжению должностного лица органа, осуществляющего государственный надзор (контроль), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа, осуществляющего муниципальный контроль",19.04,0,0.0,Конфискация,4,Конфискация
"Статья 19.4. Неповиновение законному распоряжению должностного лица органа, осуществляющего государственный надзор (контроль), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа, осуществляющего муниципальный контроль",19.04,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 19.4. Неповиновение законному распоряжению должностного лица органа, осуществляющего государственный надзор (контроль), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа, осуществляющего муниципальный контроль",19.04,6440,1.0,Штраф,1,Штраф
"Статья 8.37. Нарушение правил охоты, правил, регламентирующих рыболовство и другие виды пользования объектами животного мира",8.37,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 8.37. Нарушение правил охоты, правил, регламентирующих рыболовство и другие виды пользования объектами животного мира",8.37,1232,0.034041612555607746,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 8.37. Нарушение правил охоты, правил, регламентирующих рыболовство и другие виды пользования объектами животного мира",8.37,13,0.0003592053272913155,Конфискация,4,Конфискация
"Статья 8.37. Нарушение правил охоты, правил, регламентирующих рыболовство и другие виды пользования объектами животного мира",8.37,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 8.37. Нарушение правил охоты, правил, регламентирующих рыболовство и другие виды пользования объектами животного мира",8.37,34946,0.9655991821171009,Штраф,1,Штраф
Статья 14.1. Осуществление предпринимательской деятельности без государственной регистрации или без специального разрешения (лицензии),14.01,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.1. Осуществление предпринимательской деятельности без государственной регистрации или без специального разрешения (лицензии),14.01,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.1. Осуществление предпринимательской деятельности без государственной регистрации или без специального разрешения (лицензии),14.01,0,0.0,Конфискация,4,Конфискация
Статья 14.1. Осуществление предпринимательской деятельности без государственной регистрации или без специального разрешения (лицензии),14.01,6,5.0145840820385954e-05,Приостановление деятельности,2,Приостановление деятельности
Статья 14.1. Осуществление предпринимательской деятельности без государственной регистрации или без специального разрешения (лицензии),14.01,119645,0.9999498541591796,Штраф,1,Штраф
Статья 16.3. Несоблюдение запретов и (или) ограничений на ввоз товаров на таможенную территорию Евразийского экономического союза или в Российскую Федерацию и (или) вывоз товаров с таможенной территории Евразийского экономического союза или из Российской Федерации,16.03,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 16.3. Несоблюдение запретов и (или) ограничений на ввоз товаров на таможенную территорию Евразийского экономического союза или в Российскую Федерацию и (или) вывоз товаров с таможенной территории Евразийского экономического союза или из Российской Федерации,16.03,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 16.3. Несоблюдение запретов и (или) ограничений на ввоз товаров на таможенную территорию Евразийского экономического союза или в Российскую Федерацию и (или) вывоз товаров с таможенной территории Евразийского экономического союза или из Российской Федерации,16.03,495,0.565068493150685,Конфискация,4,Конфискация
